page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
1,3057010,Despacito (Remix),https://genius.com/Luis-fonsi-and-daddy-yankee-despacito-remix-lyrics,/Luis-fonsi-and-daddy-yankee-despacito-remix-lyrics,https://images.genius.com/a39d33d4a4c527822a9edfec352eae7d.1000x1000x1.jpg,13,372,1119780,Luis Fonsi & Daddy Yankee,https://genius.com/artists/Luis-fonsi-and-daddy-yankee,https://images.genius.com/365d323e22c93fe869478efde436d233.393x393x1.jpg
1,3039923,HUMBLE.,https://genius.com/Kendrick-lamar-humble-lyrics,/Kendrick-lamar-humble-lyrics,https://images.genius.com/0780c76f8d3ab762a0ad67ac26fa9709.1000x563x1.jpg,19,1016,1421,Kendrick Lamar,https://genius.com/artists/Kendrick-lamar,https://images.genius.com/25d8a9c93ab97e9e6d5d1d9d36e64a53.1000x1000x1.jpg
1,727466,The Hills,https://genius.com/The-weeknd-the-hills-lyrics,/The-weeknd-the-hills-lyrics,https://images.genius.com/4d6a3a9b56e2b1073e36a7979b46b6d3.1000x1000x1.jpg,12,1689,2358,The Weeknd,https://genius.com/artists/The-weeknd,https://images.genius.com/3cd68c66d12d757c908ddbdcefb581e8.441x441x1.jpg
1,299177,Drunk in Love,https://genius.com/Beyonce-drunk-in-love-lyrics,/Beyonce-drunk-in-love-lyrics,https://images.genius.com/bf490446bd0c8d3f65d02f1e66817228.1000x1000x1.jpg,30,3207,498,Beyoncé,https://genius.com/artists/Beyonce,https://images.genius.com/995535bff9a0a15e5f1840990707d61d.399x399x1.jpg
1,2398213,Work,https://genius.com/Rihanna-work-lyrics,/Rihanna-work-lyrics,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,24,589,89,Rihanna,https://genius.com/artists/Rihanna,https://images.genius.com/6c0a5c21157bafe0dcab934f107020a1.960x960x1.jpg
1,3219597,Too Good at Goodbyes,https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics,/Sam-smith-too-good-at-goodbyes-lyrics,https://images.genius.com/e06b23fc67d038759ac107f1501fc998.1000x1000x1.jpg,6,295,43383,Sam Smith,https://genius.com/artists/Sam-smith,https://images.genius.com/c9ce9032f369d402e814251982a1fe41.1000x1000x1.jpg
1,93539,Fuckin’ Problems,https://genius.com/A-ap-rocky-fuckin-problems-lyrics,/A-ap-rocky-fuckin-problems-lyrics,https://images.genius.com/4d717f663795a7de1b642090b934e10f.960x960x1.jpg,43,703,12417,A$AP Rocky,https://genius.com/artists/A-ap-rocky,https://images.genius.com/84260afdfa02f8cba4117c80ac6c847b.1000x1000x1.jpg
1,3807759,In My Feelings,https://genius.com/Drake-in-my-feelings-lyrics,/Drake-in-my-feelings-lyrics,https://images.genius.com/7e8338eeaccb543856e431c188635ce1.1000x563x1.jpg,14,182,130,Drake,https://genius.com/artists/Drake,https://images.genius.com/22999a3378819809ee4848f7c60a744c.1000x1000x1.jpg
1,3876994,SICKO MODE,https://genius.com/Travis-scott-sicko-mode-lyrics,/Travis-scott-sicko-mode-lyrics,https://images.genius.com/0d7f07bc4caf376850e68900f4974ca4.1000x573x1.jpg,46,515,20185,Travis Scott,https://genius.com/artists/Travis-scott,https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
1,496445,Trap Queen,https://genius.com/Fetty-wap-trap-queen-lyrics,/Fetty-wap-trap-queen-lyrics,https://images.rapgenius.com/694274eb49f35ea1ad1acc36ab99390e.640x640x1.jpg,22,3163,216609,Fetty Wap,https://genius.com/artists/Fetty-wap,https://images.genius.com/4c7e86b750a1637b7a2d92f9d0ad558c.496x496x1.jpg
